Character,Count,Sum,Mentions,Sentiment,Quality,Mentions Ratio
Vincent,259,2586,22,0.02708648648648649,9.984555984555984,0.08494208494208494
Jules,209,3221,18,-0.019804784688995214,15.411483253588516,0.0861244019138756
Butch,135,1254,18,0.07094444444444445,9.28888888888889,0.13333333333333333
Fabienne,90,705,5,0.06081222222222222,7.833333333333333,0.05555555555555555
Mia,81,1009,12,0.016401234567901237,12.45679012345679,0.14814814814814814
Pumpkin,62,881,2,0.04068709677419355,14.209677419354838,0.03225806451612903
Wolf,54,1117,8,0.16142962962962962,20.685185185185187,0.14814814814814814
Lance,50,693,3,0.018406000000000006,13.86,0.06
Honey Bunny,39,267,3,0.006648717948717951,6.846153846153846,0.07692307692307693
Brett,27,89,6,0.11724444444444444,3.2962962962962963,0.2222222222222222
Jimmie,26,397,22,-0.022784615384615396,15.26923076923077,0.8461538461538461
Maynard,21,157,1,-0.038476190476190476,7.476190476190476,0.047619047619047616
Jody,21,212,1,-0.13555714285714285,10.095238095238095,0.047619047619047616
Esmarelda,20,153,4,-0.147295,7.65,0.2
Marsellus,20,453,31,-0.212695,22.65,1.55
